,roles,companies,locations,experience,skills
339,Data Science/ Scientist - Python/ Deep Learning,New Era India,Bengaluru,7-12 Yrs,"Data Science
Java
C++
Data Scientist
Artificial Intelligence
Data Management
Machine Learning
Algorithm"
340,Job Opening For Data Scientist /AI Developer For Navi Mumbai Location,Kanthwal services,"Navi Mumbai, Mumbai",3-8 Yrs,"linear regresson
gits
oop
python
software development
project development
neural networks
mathematical models"
341,Data Scientist / Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,1-6 Yrs,"Computer science
Automation
Data analysis
Analytical
Machine learning
HTML
Data quality
Analytics"
342,Data Scientist- Pune,SS Supply Chain Solutions Pvt. Ltd. (3SC),Pune,2-5 Yrs,"algorithms
r
python
data mining
Machine Learning
predictive analysis"
343,Data Scientist,XZED SKILLS PRIVATE LIMITED,"Bengaluru, Kochi",3-6 Yrs,"hive
Data Science
python
R
data modeling
SAS
spark
hdfs"
344,Trainee-freshers-machine Learning-ai-data Scientist,Aficionado Technologies Pvt Ltd,Bengaluru(BTM Layout),0-0 Yrs,"Tensorflow
NLP
Keras
Knn
Machine Learning
Deep Learning
Numpy
Python"
345,Job | Data Scientist | Machine Learning & Statistical Analysis,Manmuk Creations,"Delhi, Mumbai, Bengaluru",2-5 Yrs,"Tensorflow
Nltk
Algorithms
Artificial Intelligence
Keras
Spacy
Machine Learning
Statistics"
346,Senior Deep Learning Data Scientist,Number Theory Software,Gurgaon,2-6 Yrs,"Computer vision
deep learning
software architecture
Image processing
Data modeling
Coding
Neural networks
Data structures"
347,Principal Data Scientist - Machine/ Deep Learning - NLP/ Tensorflow,Fidius advisory,Bengaluru,8-13 Yrs,"Data Science
Tensorflow
NLP
Data Scientist
Machine Learning
PhD
Decision Science
Deep Learning"
348,Senior Data Scientist - Deep Learning/algorithm,Innoplexus Consulting services Pvt Ltd,Pune,6-11 Yrs,"Data Science
NoSQL
NLP
Data Scientist
PhD
Algorithm
Machine Learning
Deep Learning"
349,Data Scientist,New Era India,Bengaluru,17-23 Yrs,"Java
Data Scientist
OOPS
Data Management
Big Data
Data Mining
PhD
Algorithm"
350,Senior Data Scientist - Machine Learning & Regression Algorithms,Confidential,Bengaluru,6-10 Yrs,"Data Science
Predictive Modeling
Regression Algorithms
R
Power BI
Data Scientist
Statistical Modeling
Data Visualization"
351,Lead - Data Scientist,Catalyst,Bengaluru,6-11 Yrs,"Data Science
Data Scientist
Machine learning
Predictive
Time Series
Regression
Predictivity
Analytics"
352,Senior Data Scientist - Advanced Analytics/data Science,Fidelity IT Jobs,Gurgaon,7-12 Yrs,"Data Science
Data Scientist
Data Management
Web Analytics
Data Modeling
Data Analytics
Statistics
Machine Learning"
353,Data Scientist - 5 To 12 Yrs - Bangalore,Black and White Business Solutions Pvt Ltd,Bengaluru,5-10 Yrs,"Data Science
python
scala
Data Scientist
data research
Deep Learning
ML"
354,Data Scientist / Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,3-8 Yrs,"Computer science
Coding
Machine learning
HTML
Data mining
Analytics
SQL
Android"
355,Artificial Intelligence Expert - Data Scientist/ Machine Learning,New Era India,United States,11-15 Yrs,"Speech Recognition
NLP
Artificial Intelligence
Image Processing
Data Scientist
Computer Vision
Machine Learning
PhD"
356,Data Science/ Scientist - Python/ Deep Learning,New Era India,Bengaluru,7-12 Yrs,"Data Science
Java
C++
Data Scientist
Artificial Intelligence
Data Management
Machine Learning
Algorithm"
357,Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Hyderabad,8-13 Yrs,"Logistic regression
Data analysis
Data management
Analytical
Consulting
HTML
Data mining
Analytics"
358,"Sr Data Scientist - Computer Vision, Deep Learning",HERE Technologies,"Mumbai, Mumbai City",0-0 Yrs,"Data Science
Computer Vision
Machine Learning
Deep Learning
Python"
359,Senior Data Scientist,Prokarma Softech Pvt. Ltd.,"Chennai, Bengaluru, Hyderabad",6-11 Yrs,"Tensorflow
Data Science
Time Series
Machine Learning
Deep Learning
Python"
360,Job Opening For Data Scientist /AI Developer For Navi Mumbai Location,Kanthwal services,"Navi Mumbai, Mumbai",3-8 Yrs,"linear regresson
gits
oop
python
software development
project development
neural networks
mathematical models"
361,Data Scientist / Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,1-6 Yrs,"Computer science
Automation
Data analysis
Analytical
Machine learning
HTML
Data quality
Analytics"
362,Data Scientist,Podar Education Network Pvt Ltd,Mumbai(Parel),2-6 Yrs,"python
r
tableau
Microsoft Power BI
machine learning"
363,Data Scientist,XZED SKILLS PRIVATE LIMITED,"Bengaluru, Kochi",3-6 Yrs,"hive
Data Science
python
R
data modeling
SAS
spark
hdfs"
364,Data Scientist Intern,zBliss Technologies,"Chennai, Bengaluru",0-2 Yrs,"Data analysis
Data management
data science
Intern
Coding
Project management
Machine learning
Healthcare"
365,Data Scientist,Marktine,Jaipur,1-3 Yrs,"Computer languages
PDF
Neural networks
Machine learning
Predictive modeling
Business solutions
Revenue generation
Monitoring"
366,"Data Scientist - Thane , Mumbai",Empower Recruitments,"Navi Mumbai, Mumbai",1-4 Yrs,"Unica Campaign
R
Data Management
Machine Learning
MATLAB
Python"
367,Job | Data Scientist | Machine Learning & Statistical Analysis,Manmuk Creations,"Delhi, Mumbai, Bengaluru",2-5 Yrs,"Tensorflow
Nltk
Algorithms
Artificial Intelligence
Keras
Spacy
Machine Learning
Statistics"
368,Artificial Intelligence Expert - Data Scientist/ Machine Learning,New Era India,United States,11-15 Yrs,"Speech Recognition
NLP
Artificial Intelligence
Image Processing
Data Scientist
Computer Vision
Machine Learning
PhD"
369,SENIOR DATA SCIENTIST AND MACHINE LEARNING ENGINEER,McAfee Software (India) Pvt. Ltd,Bengaluru,5-9 Yrs,"C++
Data analysis
Analytical
Machine learning
Perl
Data mining
MATLAB
Analytics"
370,Data Analyst/ Data Scientist,Platinus Technologies Private Limited,Hyderabad,7-12 Yrs,"C++
C
Algorithms
Opencv
Image Processing
Data Structures
Computer Vision
Business Development Management"
371,Data Scientist,Madhees,Hyderabad,5-10 Yrs,"Process design
Logistic regression
Data analysis
NPV
Predictive modeling
Business solutions
Statistics
Monitoring"
372,Data Scientist,Innominds Software Pvt Ltd,Hyderabad,4-8 Yrs,"algorithms
python
Artificial Intelligence
Information retrieval
Pattern recognition
Mining
Digital media
deep learning"
373,Data Scientist - Machine Learning/artificial Intelligence - IT,Talent Acceleration Corridor,"Delhi NCR, Noida",6-11 Yrs,"Data Science
SAS
Data Scientist
Artificial Intelligence
Data Management
Big Data
Marketing Analytics
Machine Learning"
374,Data Scientist - Consulting Firm,Huquo Consulting Pvt. Ltd,"Mumbai, Bengaluru",4-9 Yrs,"Data Science
Predictive Modeling
Data Scientist
Data Management
Data Analytics
Analytics
Analytical Model Development
Python"
375,Senior Data Scientist - CPG Sector,NovoTree Minds Consulting Pvt. Ltd.,Bengaluru,5-10 Yrs,"Data Science
Data Scientist
Data Management
Statistical Modeling
GLM / Mix Models
Data Modeling
Data Analytics
Statistics"
376,Data Scientist - 5 To 12 Yrs - Bangalore,Black and White Business Solutions Pvt Ltd,Bengaluru,5-10 Yrs,"Data Science
python
scala
Data Scientist
data research
Deep Learning
ML"
377,Data Scientist / Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,3-8 Yrs,"Computer science
Coding
Machine learning
HTML
Data mining
Analytics
SQL
Android"
378,Lead - Data Scientist - KPO,NovoTree Minds Consulting Pvt. Ltd.,Bengaluru,5-10 Yrs,"Data Science
Predictive Modeling
NLP
SQL / Pig / Hive
Data Scientist
Artificial Intelligence
Data Management
Machine Learning"
379,Data Scientist Machine Learning,Delhivery,Gurgaon,1-3 Yrs,"algorithms
C++
operations
Simulation
Analytical
Machine learning
Tools
CMS"
380,Data Scientist,DIZBI PRIVATE LIMITED,Bengaluru,0-2 Yrs,"Anakonda
plotly dash and bokeh
SCM domain
Dashboards creations in python
Business Analysis
Data Science
SoftMotive or Automation Any Where or UI Pat
R"
381,Hiring For Data Scientist - Freelancer,"Kumaran Systems Pvt. Ltd.,",Chennai(Navalur),3-8 Yrs,"Data Science
C++
Machine Learning
Python
Predictive Analytics"
382,Data Scientist / Lead Data Scientist,Indium Software (India) Limited,"Chennai, Bengaluru",3-8 Yrs,"python
CNN
data analytics
linear statistics
regression analysis
segmentation analysis
Machine Learning
data analyst"
383,Data Scientist,Paktolus solutions,Bengaluru,3-5 Yrs,"hive
python
data analysis
data mining
cloud platforms
random forest
machine learning
classification"
384,Hiring For Data Scientist,Flywings enterprises,Pune,2-7 Yrs,"Algorithm Development
Pattern Recognition
Natural Language Processing
Machine Learning
Leadership Skills
Python"
385,Data Scientist,VALIANCE ANALYTICS PRIVATE LIMITED,"Delhi NCR, Gurgaon",3-5 Yrs,"R
Xgboost
Neural Networks
Statistical Modeling
Data Analysis
Hypothesis Testing
Machine Learning
Python"
386,Data Scientist - Analytics Division - Tech Service Provider Firm,Mirus Solutions,Bengaluru,5-10 Yrs,"Data Management
Machine Learning
Analytics
Numpy
Data Science
NLTK
NLP
Data Scientist"
387,Principal Data Scientist,Axim Technologies,"Bengaluru, Karnataka",5-8 Yrs,"Unix
Java
Container
Algorithms
Multithreading
Linux
Docker
Data Scientist"
388,"Senior Data Scientist [ML Model,azure ML Pipeline,python,r ]",eInfochips Limited,Bengaluru(6th block Koramangala),8-12 Yrs,"Data Science
R
tensorflow
Pickle
Artificial Intelligence
PMML
ML Models
Python"
389,Hiring || Data Scientist || Xoriant(cmmi Level 5) || Chennai Location,Xoriant Solutions Pvt Ltd,Chennai(Sholinganallur),5-8 Yrs,"deep learning
probability
SCALA
data scientist
Spark
machine learning
statistics
Python"
390,Data Scientist,HYBRIDCLOSYS SOFTWARE SOLUTIONS PRIVATE LIMITED,Hyderabad,6-9 Yrs,"Machine Learning
Python
SQL
R
Programming
Data Mining"
391,Hiring For Data Scientists 4-8 Years Experience,Hyper Thread Solutions Pvt. Ltd.,Hyderabad,4-8 Yrs,"Tensorflow
Nltk
Data Science
NLP
Classification
Data Mining
Data Extraction
Machine Learning"
392,Senior Data Scientist / Machine Learning / AI Engineer,Bion,Bengaluru,8-10 Yrs,"Java
Rest
Software Development
Artificial Intelligence
Weblogic
Javascript
Programming
J2Ee"
393,Lead Data Scientist - Machine Learning/ Deep Learning,SKS Enterpprises,Pune,12-16 Yrs,"NLP
Data Scientist
Data Management
NLU / NLG
Data Modeling
Data Analytics
Algorithm
Machine Learning"
394,Data Scientist - Hadoop/mapreduce,Confidential,India,5-8 Yrs,"analytics
Java
predictive modeling
Hadoop
Data Management
Big Data
statistical modeling
PhD"
395,Data Scientist,TrueView HR Consulting Pvt. Ltd,Pune,5-10 Yrs,"R
Statistical Software
SAS
Factor Analysis
Web Technologies
PySpark
Time Series
Data Visualization"
396,Senior Data Scientist - Banking & Financial Services,Rinalytics Advisors,Mumbai,5-9 Yrs,"Data Science
Data Scientist
Data Management
Data Analytics
Machine Learning
Analytics
Python"
397,"Opening For Data Scientist - 8+ yrs Exp, Bangalore",Careernet Technologies Pvt Ltd,Bengaluru,8-12 Yrs,"Predictive Modeling
Logistic Regression
Artificial Intelligence
Natural Language Processing
randon forest
Machine Learning
Deep Learning
Model Development"
398,Data Scientist - 5 To 12 Yrs - Bangalore,Black and White Business Solutions Pvt Ltd,Bengaluru,5-10 Yrs,"Data Science
python
scala
Data Scientist
data research
Deep Learning
ML"
399,Senior Data Scientist / Machine Learning / AI Engineer,Bion,Bengaluru,8-13 Yrs,"Java
Rest
Software Development
Artificial Intelligence
Weblogic
Javascript
Programming
J2Ee"
400,BI Developer / Data Scientist,The Hiring Xpert,Vadodara,1-2 Yrs,"M-query
Business Intelligence
ZAP BI
Power Bi
SSRS
OLAP
dax
ETL"
401,Hiring For Data Scientist - Freelancer,"Kumaran Systems Pvt. Ltd.,",Chennai(Navalur),3-8 Yrs,"Data Science
C++
Machine Learning
Python
Predictive Analytics"
402,Data Scientist with top Fintech Startup Company,KNIGHT FINTECH RESEARCH PRIVATE LIMITED,Mumbai,3-8 Yrs,"time series analysis
python
LSTM
ai / ml
machine learning
artificial intelligence
Deep Learning
NLTK"
403,Data Scientist- Pune,SS Supply Chain Solutions Pvt. Ltd. (3SC),Pune,2-5 Yrs,"algorithms
r
python
data mining
Machine Learning
predictive analysis"
404,Data Scientist / Lead Data Scientist,Indium Software (India) Limited,"Chennai, Bengaluru",3-8 Yrs,"python
CNN
data analytics
linear statistics
regression analysis
segmentation analysis
Machine Learning
data analyst"
405,Hiring For Data Scientist,Flywings enterprises,Pune,2-7 Yrs,"Algorithm Development
Pattern Recognition
Natural Language Processing
Machine Learning
Leadership Skills
Python"
406,Data Scientist - Analytics Division - Tech Service Provider Firm,Mirus Solutions,Bengaluru,5-10 Yrs,"Data Management
Machine Learning
Analytics
Numpy
Data Science
NLTK
NLP
Data Scientist"
407,Principal Data Scientist - Machine/ Deep Learning - NLP/ Tensorflow,Fidius advisory,Bengaluru,8-13 Yrs,"Data Science
Tensorflow
NLP
Data Scientist
Machine Learning
PhD
Decision Science
Deep Learning"
408,"Senior Data Scientist [ML Model,azure ML Pipeline,python,r ]",eInfochips Limited,Bengaluru(6th block Koramangala),8-12 Yrs,"Data Science
R
tensorflow
Pickle
Artificial Intelligence
PMML
ML Models
Python"
409,Senior Data Scientist - Marketing Analytics,TVS Credit Services Limited,Chennai(Nungambakkam),4-9 Yrs,"customer analytics
marketing analytics
attribution modelling
market mix modelling
campaign analytics
Machine Learning"
410,Hiring || Data Scientist || Xoriant(cmmi Level 5) || Chennai Location,Xoriant Solutions Pvt Ltd,Chennai(Sholinganallur),5-8 Yrs,"deep learning
probability
SCALA
data scientist
Spark
machine learning
statistics
Python"
411,Data Analyst/ Data Scientist,Platinus Technologies Private Limited,Hyderabad,7-12 Yrs,"C++
C
Algorithms
Opencv
Image Processing
Data Structures
Computer Vision
Business Development Management"
412,Hiring For Data Scientists 4-8 Years Experience,Hyper Thread Solutions Pvt. Ltd.,Hyderabad,4-8 Yrs,"Tensorflow
Nltk
Data Science
NLP
Classification
Data Mining
Data Extraction
Machine Learning"
413,Senior Data Scientist / Machine Learning / AI Engineer,Bion,Bengaluru,8-13 Yrs,"Java
Rest
Software Development
Artificial Intelligence
Weblogic
Javascript
Programming
J2Ee"
414,Data Scientist - Machine Learning/artificial Intelligence,The Hiring Story,Mumbai,4-8 Yrs,"Visualization
eCommerce
Data Scientist
Artificial Intelligence
Data Management
Machine Learning
Algorithm"
415,Principal Data Scientist - Big Data/ Machine Learning,HyrEzy Talent Solutions,Delhi,6-11 Yrs,"Data Science
R
Data Pipeline
Data Scientist
Scala
Hadoop
Big Data
Spark"
416,Data Scientist - Telecom - IIM/ IIT/ Bits/ NIT/ FMS/ MDI,Change Leaders,Bengaluru,4-8 Yrs,"Data Science
Business Intelligence
SAS
Data Scientist
Data Management
Tableau
Data Analytics
Statistics"
417,Senior Data Scientist - Banking & Financial Services,Rinalytics Advisors,Mumbai,5-9 Yrs,"Data Science
Data Scientist
Data Management
Data Analytics
Machine Learning
Analytics
Python"
418,Data Scientist with top Fintech Startup Company,KNIGHT FINTECH RESEARCH PRIVATE LIMITED,Mumbai,3-8 Yrs,"time series analysis
python
LSTM
ai / ml
machine learning
artificial intelligence
Deep Learning
NLTK"
419,Principal Data Scientist - Machine/Deep Learning - NLP/Tensorflow,Fidius advisory,Bengaluru,8-13 Yrs,"Tensorflow
NLP
PyTorch
data science
product management
design
Deep Learning"
420,Senior Data Scientist,Morningstar India (P) Ltd.,Mumbai,5-10 Yrs,"rest
algorithms
python
Prototype
Fixed income
MATLAB
sql
Computer science"
421,Data Scientist,GLOBAL QUEST TECHNOLOGIES,Bengaluru,0-1 Yrs,"Data Science
Python Developer
Big Data
Data Mining
Python"
422,Data Scientist - Machine Learning/artificial Intelligence,3D India Staffing Research Consulting Pvt Ltd,"Gurgaon, Gurugram",5-9 Yrs,"Data Science
Java
R
Artificial Intelligence
Data Scientist
SCALA
Data Mining
Data Visualization"
423,Lead Data Scientist,Huquo Consulting Pvt. Ltd,Bengaluru,5-8 Yrs,"Data Science
NLP
Data Scientist
Artificial Intelligence
Big Data
Statistical Modeling
Data Analytics
Machine Learning"
424,Data Scientist,VEHERE INTERECTIVE PVT LTD,Kolkata,5-9 Yrs,"Computer science
deep learning
cyber security
Machine learning
Data structures
Troubleshooting
Data mining
Analytics"
425,Data Scientist,Aureus Analytics,Mumbai,5-10 Yrs,"Logistic regression
data science
Neural networks
Machine learning
Actuarial
Mathematics
Customer experience
Forecasting"
426,Sr. Data Scientist,Pegasus Knowledge Solutions India Private Limited,Bengaluru,5-10 Yrs,"Process design
Outbound
SAS
Analytical
Machine learning
Anova
SPSS
Data mining"
427,Principal Data Scientist,GO-JEK,Bengaluru,8-15 Yrs,"Design engineering
data science
Diversity and Inclusion
Machine learning
Manager Technology
Infrastructure
Mentor
Product design"
428,Senior Data Scientist,Glass Cube consulting private limited,Bengaluru,5-10 Yrs,"Computer science
Bfsi
Consulting
Machine learning
Asset management
Outsourcing
Business intelligence
Data mining"
429,Machine Learning/data Scientist - Python/java/etl,3D India Staffing Research Consulting Pvt Ltd,"Gurgaon, Gurugram",5-8 Yrs,"Java
R
Data Scientist
SCALA
Data Mining
Perl
Machine Learning
Statistical Analysis"
430,Senior Manager - Data Scientist - Banking Domain - Iit/nit/bits,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",8-12 Yrs,"Data Science
Data Scientist
Data Management
Data Mining
Tableau
Data Analytics
Machine Learning
Statistics"
431,Senior Manager - Data Scientist - Iit/nit/bits,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",8-12 Yrs,"Data Science
Data Scientist
Data Management
Data Mining
Tableau
Data Analytics
Machine Learning
Statistics"
432,Associate Vice President - Data Scientist,Huquo Consulting Pvt. Ltd,Gurgaon,8-12 Yrs,"Data Science
NLP
Data Scientist
Big Data
Machine Learning
Analytics
Python"
433,Senior Data Scientist - Product Development Firm - IIT/ NIT/ BITS,Huquo Consulting Pvt. Ltd,"Delhi NCR, Gurgaon",5-10 Yrs,"Data Science
NLP
Data Scientist
Data Management
Data Modeling
Data Analytics
Machine Learning
Analytics"
434,Data Scientist,CIEL HR Services Pvt Ltd,Gurgaon,3-5 Yrs,"Automation Tools
Data Science
R
Algorithms
Design Development
Home Automation
Data Scientist
Classification"
435,Lead Data Scientist,Brillio Technologies Pvt. Ltd,Bengaluru,5-8 Yrs,"deep learning
Data analysis
SAS
Simulation
Time series analysis
Network analysis
Machine learning
Subject Matter Expert"
436,Data Scientist,Seven Consultancy,Hyderabad,3-5 Yrs,"Computer science
advanced analytics
Data management
Renewable energy
data science
big data analytics
Analytical
Workflow"
437,Data Scientist II,Novartis Healthcare Pvt. Ltd.,Hyderabad,3-7 Yrs,"Automation
Claims
Pharma
Business analytics
Analytical
Strategic planning
Scientist II
SPSS"
438,Data Scientist - NLP/ R/ Python,The Hiring Story,Hyderabad,2-5 Yrs,"Data Science
R
NLP
NoSQL
Text Analytics
Information Retrieval
Text Mining
Data Analytics"
439,Principal - Data Scientist,Tvs Motor Company,Hosur,6-11 Yrs,"Development management
TQM
Project management
Machine learning
Middle level management
Data analytics
Manager Quality Control
Scientist 1"
440,Sr. Data Scientist,Crayon Data,Chennai,8-13 Yrs,"GIS
Computer science
Operations research
Prototype
NoSQL
data science
Social science
Project management"
441,Data Scientist,Fractal Analytics Ltd,Bengaluru,3-6 Yrs,"Linux
RF
RDBMS
Bfsi
Consulting
Data structures
Healthcare
SEM"
442,Data Scientist,Fractal Analytics Ltd,Mumbai,2-5 Yrs,"Unix
Computer science
Logistic regression
Analytical
Data processing
Data structures
Data mining
Open source"
443,Data Scientist,Bigtree Entertainment Pvt. Ltd,Mumbai,2-5 Yrs,"Report generation
MySQL
query
Database
Writing
Workflow
Oracle
Business Executive"
444,.1787_Data Scientist _Bangalore,Sigma Allied Services private Limited,Bengaluru,2-5 Yrs,"Data Science
Predictive Modeling
R
Neural Networks
Data Analysis
Data Mining
Machine Learning
Deep Learning"
445,Associate Data Scientist,Client of PeopleLogic,Bengaluru,6-8 Yrs,"Engineering
DBA
Engineer
data
Technology
Computer Science
Database
engineer"
446,Data Scientist,Bigtree Entertainment Pvt. Ltd,Mumbai,2-7 Yrs,"interfaces
oracle
workflow
functions
configuration
mysql
data integration
sql server"
447,Data Scientist,Bigtree Entertainment Pvt. Ltd,Mumbai,2-6 Yrs,"interfaces
oracle
workflow
functions
configuration
mysql
data integration
sql server"
448,Associate Data Scientist,Right Step Consulting,Noida,3-6 Yrs,"E-learning
Linux
Data management
Javascript
Tools
Business intelligence
Digital marketing
Analytics"
449,Data Scientist,Hyrefox,Chennai,2-7 Yrs,"Script writing
spark
Analytical
SCALA
Data processing
big data
Analytics
Software services"
450,opening For Data Scientist_Hyderabad,Inventech Info Solutions Pvt. Ltd.,"Chennai, Pune, Bareilly, Bengaluru, Ankleshwar, Anantapur, Bellary, Hyderabad, Angul",2-6 Yrs,"HIVE
R
Shell
Shell.
SQL
Python"
451,BDB Data Scientist,BizViz Technologies Pvt. Ltd.,"Bengaluru, Hyderabad",3-8 Yrs,"algorithms
ERP
Data analysis
development
SAS
technical
software
developing"
452,Lead Data Scientist/ML,WHIZDOTAI INDIA PRIVATE LIMITED,Pune,10-20 Yrs,"Algorithms
Machine Learning
Python
Pytorch
Tensorflow
Data Science
R
Xgboost"
453,Machine Learning Engineer/data Scientist,AUTODESK INDIA PRIVATE LIMITED,Bengaluru,5-10 Yrs,"kubernetes
scala
anomaly detection
docker
salesforce
deep learning
tensorflow
jupyter"
454,Data Scientist,Skyleaf Consultants,Mumbai,10-15 Yrs,"Analysis Services
Statistics
MATLAB
Data Science
R
Advanced Analytics
Classification
kafka"
455,Data Scientist (lead),Inceptial Infrastructure & Technology LLP,Kolkata,8-9 Yrs,"deep learning
kubernetes
nlp
Docker
data scientist
Lead Data Scientist"
456,Senior Data Scientist,ExecBoardinAsia,Bengaluru,5-10 Yrs,"Deployment
Project planning
Monitoring"
457,Senior Data Scientist,EPIFI TECHNOLOGIES PRIVATE LIMITED,Bengaluru,5-8 Yrs,"Academics
Scalability
Data Scientist
regression
Data Structures
SCALA
Data Analysis
Data Mining"
458,Data Scientist,BNS Analytics,Delhi NCR(Saket),5-10 Yrs,"Artificial Intelligence
Natural Language Processing
Programming
C++
C
Go
SVM
Machine Learning"
459,Lead Data Scientist,Brillio Technologies Pvt. Ltd,Bengaluru,5-8 Yrs,"deep learning
Data analysis
SAS
Simulation
Time series analysis
Network analysis
Machine learning
Subject Matter Expert"
460,Associate Data Scientist,Right Step Consulting,Noida,3-6 Yrs,"E-learning
Linux
Data management
Javascript
Tools
Business intelligence
Digital marketing
Analytics"
461,Data Scientist,Hyrefox,Chennai,2-7 Yrs,"Script writing
spark
Analytical
SCALA
Data processing
big data
Analytics
Software services"
462,Data Scientists,Bloom Consulting Services,Bengaluru,2-5 Yrs,"Computer science
Risk analytics
Online marketing
Machine learning
Risk management
Operations
Financial services
SQL"
463,Data Scientist / Advanced Analytics - Machine Learning,E2E Infoware Management Services Pvt Ltd,"Chennai, Bengaluru",1-5 Yrs,"advanced analytics
deep learning
Artificial Intelligence
R Programming
Machine learning
Python"
464,opening For Data Scientist_Hyderabad,Inventech Info Solutions Pvt. Ltd.,"Chennai, Pune, Bareilly, Bengaluru, Ankleshwar, Anantapur, Bellary, Hyderabad, Angul",2-6 Yrs,"HIVE
R
Shell
Shell.
SQL
Python"
465,Data Scientist Intern Rigbot,rigbot.com,Not Specified,0-1 Yrs,"Data Science
python
R
Hadeep
Machine Learning
SQL"
466,Senior Data Scientist,JoinHandsHR,Mumbai,3-8 Yrs,"Data Scientist
Data Analyst"
467,Data Scientist,dataspire Technologies Private Limited,Coimbatore,2-5 Yrs,"C++
Data analysis
development
Prototype
large
software
Tools
developing"
468,Data Scientist,Big Data BizViz (BizViz Technologies Pvt. Ltd),"Bengaluru, Hyderabad",3-8 Yrs,"ERP
Data analysis
SAS
Simulation
Analytical
Machine learning
Healthcare
Data mining"
469,Data Scientist,INFINIUM SOLUTIONZ PVT LTD,Ahmedabad,3-7 Yrs,"GIS
Data analysis
RDBMS
Coding
Project management
Machine learning
Data structures
MATLAB"
470,Data Scientist and Data Engineer,Squircle IT Consulting Services Pvt Ltd,Chennai,3-7 Yrs,"Product management
Algorithms
Prototype
Data modeling
Machine learning
Algorithm development
Grammar
Subject Matter Expert"
471,Data Scientist (Jr. Resource),Job Scan Solution,Thrissur,3-6 Yrs,"data cleansing
deep learning
Machine learning
big data
Python"
472,Data Scientist (Intern),AICHUNKS Private Limited,Chandigarh,3-8 Yrs,"Computer science
Intern
Machine learning"
473,Data Scientist,ThinkBumblebee Analytics Pvt. Ltd.,Pune,3-8 Yrs,"Computer science
Operations research
SAS
Campaign management
cassandra
Machine learning
Project delivery
MATLAB"
474,Position Data Scientist,Positive Integers Pvt Ltd,Chennai,0-1 Yrs,"assembly language
JavaScript
Real Time Operating Systems
.NET
HTML
Oracle
Python"
475,Lead Data Scientist and Cognitive Software Engineer,Gladwin Analytics,"Bengaluru, Hyderabad",5-10 Yrs,"Computer science
C++
Prototype
Linux
MySQL
Machine learning
Oracle
Analytics"
476,Senior Data Scientist,tcpwave,Hyderabad,7-12 Yrs,"Computer science
Operations research
data science
Machine learning
DNS
Predictive modeling
DHCP
SQL"
477,Senior Data Scientist,AICHUNKS Private Limited,Chandigarh,3-8 Yrs,Machine learning
478,Position Data Scientist,Positive Integers Pvt Ltd,Chennai,2-5 Yrs,"assembly language
JavaScript
Real Time Operating Systems
.NET
HTML
Oracle
Python"
479,Data Scientist,Angel Broking Limited,Mumbai,3-8 Yrs,"data science
R Programming
Machine learning
Programming
Data quality
data visualization
big data
Statistics"
480,Senior Data Scientist,Analytics Vidhya Educon Pvt. Ltd,Bengaluru,3-8 Yrs,"Data analysis
data science
Analytical
Machine learning
HTML
Data mining
Analytics
Financial services"
481,Data Scientist / Advanced Analytics - Machine Learning,E2E Infoware Management Services Pvt Ltd,"Chennai, Bengaluru",1-5 Yrs,"advanced analytics
deep learning
Artificial Intelligence
R Programming
Machine learning
Python"
482,Data Scientist,TERRA TECHNOLOGY,Pune,2-6 Yrs,"Data analysis
functions
Tools
Perl
Data mining
research
SQL
Supply chain"
483,Data Scientist Embedded Systems Innovation,CareerXperts Consulting,Bengaluru,3-7 Yrs,"Unix
Ubuntu
GIT
Analytical
Debugging
Machine learning
Programming
Product design"
484,Data Scientist,Guavus Network Systems Pvt. Ltd.,Gurgaon,1-3 Yrs,"code
technical
testing
Hypothesis Testing
Data structures
Pattern recognition
Data mining
research"
485,Data Scientist,Korgen Technologies (P) Limited,Chennai,3-5 Yrs,"System architecture
Modification
advanced analytics
Data analysis
software
Data mining
SQL
analytics"
486,Senior Data Scientist,Nanobi Data And Analytics Pvt Ltd,Bengaluru,2-5 Yrs,Senior Data Scientist
487,Data Scientist,Protocol Zone,Ahmedabad,1-4 Yrs,"Analytical skills
Computer vision
deep learning
Opencv
Machine learning
Programming
Mathematics
Statistics"
488,Data scientist / Developer,Elton Consulting (INDIA) Private Limited,Coimbatore,3-8 Yrs,"development
sap
Architecture
Social media
Business Executive
sql
Mining
Graph"
489,Data Scientists and Programmer,Zdaly,Bengaluru,2-5 Yrs,"SAN
Health insurance
tableau
Data modeling
cassandra
Script writing
big data analytics
Machine learning"
490,DATA SCIENTIST,Tech27 Systems Ltd,Kozhikode,3-8 Yrs,"C++
SQL database
Analytical
Machine learning
Javascript
Calculus
Windows
Analytics"
491,Senior Data Scientist,Intellithink,Chennai,2-5 Yrs,"data cleansing
Machine learning
Programming
Predictive modeling
big data
SQL
Python"
