,roles,companies,locations,experience,skills
80,Data Scientist,Wcities Content Solutions Pvt. Ltd.,Mumbai,2-6 Yrs,"Artificial Intelligence
data research
Data Mining
Data Analyst
Machine Learning
SQL
Data Science
R"
81,Data Scientist/python Application Engineer,Impact HR Services Pvt.Ltd.,Bengaluru,2-7 Yrs,"Opencv
Image Processing
Web Technologies
Spacy
Machine Learning
Scikit - Learn
Web Scraping
Python"
82,Data Scientist,Bigshyft Hiring for Zycus,Bengaluru,2-5 Yrs,"Hive
Hadoop
MySQL
Spark
Python"
83,Lead Data Scientist,Core Compete Pvt. Ltd.,"Pune, Hyderabad(Gachibowli)",7-10 Yrs,"python
data science
SAS
tensorflow
nlp
regression analysis
statistical analysis
sql"
84,Data Scientist,Prokarma Softech Pvt. Ltd.,Hyderabad,8-9 Yrs,"Azure
Power Bi
Data science
DL
AI
Panda
Deep learning
appdynamics"
85,Senior Data Scientist,Bigshyft Hiring for Draup,Bengaluru,2-5 Yrs,"Spark
Aws
Natural Language Processing NLP
Deep Learning
Python"
86,Data Scientist,Bigshyft Hiring for Arya.ai,Mumbai,2-5 Yrs,"Machine Learning ML
Deep Learning
Python"
87,Data Scientist,Bigshyft Hiring for Valiance Solutions,Noida,1-3 Yrs,"Scala
Data Mining
Spark"
88,Data Scientist,Bigshyft Hiring for ThoughtFocus,Bengaluru,3-5 Yrs,"Scala
Hadoop
SciKit-Learn
Big data
Spark"
89,Data Scientist,Walmart Labs,Chennai,2-6 Yrs,"Order management
Supply chain
Computer science
SAN
Supply chain management
SAS
Machine learning
Troubleshooting"
90,Data Scientist,Eighteen Pixels India Private Limited,Delhi NCR(Lodhi Colony),3-5 Yrs,"python
NLP
structural equation modelling
Artificial Intelligence
Natural Language Processing
social network analysis
Neural Networks
Machine Learning"
91,Data Scientist,CREDITMANTRI FINSERVE PRIVATE LIMITED,Chennai,2-3 Yrs,"Data Science
Predictive Modeling
Machine Learning
R
Logistic Regression
Segmentation
Chaid
Time Series"
92,Data Scientist - Python/R,Vipany Management Consulting,Visakhapatnam,4-9 Yrs,"Data Science
R
Statistical Software
Statistical Modeling
Graph Databases
Data Mining
Advanced Excel
Tableau"
93,SENIOR DATA SCIENTIST,McAfee Software (India) Pvt. Ltd,Bengaluru,5-9 Yrs,"Data analysis
Machine learning
SCALA
Customer service
Business intelligence
Troubleshooting
Forecasting
Product marketing"
94,Principal Data Scientist-Digital (OOG),TVS MOTOR COMPANY LTD,Bengaluru,8-12 Yrs,DATA SCIENTIST
95,Data Scientist - Analytics Product,Hexaconcepts,Bengaluru,4-8 Yrs,"Data Science
Predictive Modeling
Data Scientist
Data Management
Statistical Modeling
Data Analytics
Machine Learning
Statistics"
96,Senior Data Scientist - Banking & Financial Services,Rinalytics Advisors,Mumbai,5-9 Yrs,"Data Science
Communication Skills
Financial Services
Finance
Classification
Banking
Machine Learning
Python"
97,"Opening For Data Scientist 8-13 yrs, Bangalore",Careernet Technologies Pvt Ltd,Bengaluru,8-13 Yrs,"image processing
python
nlp
Algorithms
computer vision
linux
Natural Language Processing
Pandas"
98,Principal Data Scientist (OFG),TVS MOTOR COMPANY LTD,Bengaluru,12-18 Yrs,"Software Development
C
Algorithms
Open Source
Mip
Reinforcement Learning
Production Deployment
SQL"
99,Data Scientist,Clinton Health Access Initiative,Delhi,3-8 Yrs,"Product management
Supply chain management
Data management
Data structures
HTTP
Stored procedures
Open source
Analytics"
100,Applied Data Scientist,Tookitaki,Bengaluru,2-4 Yrs,"Computer science
C++
Product engineering
data science
Analytical
Artificial Intelligence
Machine learning
Data processing"
101,Data Scientist,Bigshyft Hiring for NextGen Invent Corporation,Noida,2-4 Yrs,"R
Hive
Data Mining
MATLAB
Machine Learning"
102,Data Scientist,Narayana Hrudayalaya Ltd,Bengaluru,2-7 Yrs,"Change Management
NLP
Algorithms
Business Analytics
Image Processing
Data Scientist
data research
Neural Networks"
103,Data Scientist,Danske IT & Support Services India Pvt Ltd,Bengaluru,2-4 Yrs,"python
r
tableau
sas
MS Office
Statistics
sql"
104,Data Scientist/ml/dl/python/timeseries,Prokarma Softech Pvt. Ltd.,Hyderabad,8-11 Yrs,"Tensorflow
Anomaly Detection
Data Science
Time Series
Keras
Root Cause
Machine Learning
Deep Learning"
105,Data Scientist,Bigshyft Hiring for Appyhigh,Gurgaon,2-4 Yrs,"Data Mining
Statistical Modelling
NOsql
Python"
106,Data Scientist,Bigshyft Hiring for Econolytics,Bengaluru,2-5 Yrs,"R
Data Warehousing
Machine Learning ML
Statistical Modelling
Python"
107,Data Scientist,Bigshyft Hiring for ALTEN Calsoft Labs,Bengaluru,3-7 Yrs,"Scala
Hadoop
Predictive Modelling
SQL
Python"
108,Data Scientist,Bigshyft Hiring for Payu,Bengaluru,3-5 Yrs,"Neo4j
Hadoop
Machine Learning ML
AWS
Python"
109,Data Scientist,Bigshyft Hiring for Payu,Gurgaon,3-5 Yrs,"Neo4j
Hadoop
Machine Learning ML
AWS
Python"
110,Data Scientist,ZunRoof Tech Pvt Ltd,Delhi NCR(Sector-63 Gurgaon),1-6 Yrs,"Data Analysis
Java
R
Logistic Regression
Time Series Analysis
Redis
Machine Learning
Python"
111,Data Scientist,MyITBridge,"Trivandrum, Kochi",3-6 Yrs,"Tensorflow
data
Artificial Intelligence
AI
Big Data
Machine Learning
Statistics
Data Science"
112,Data Scientist,Albot Technologies Pvt Ltd,"Delhi NCR, Bengaluru, Chandigarh",2-5 Yrs,"virtualization
Scala
linear regression
cryptography
reverse engineering
random forest
machine learning
Deep Learning"
113,Principal Data Scientist - NLP/Voice AI,TVS MOTOR COMPANY LTD,Bengaluru,4-8 Yrs,"Data Science
Recommender Systems
Cnn
Rnn
NLP
C
Artificial Intelligence
Classification"
114,Data Scientist - Statistical Modeling / Predictive Modeling,Confidential,Bengaluru,4-6 Yrs,"Data Science
Predictive Modeling
Regression Algorithms
R
Power BI
Data Scientist
Statistical Modeling
Neural Networks"
115,Senior Data Scientist - Machine Learning,Serving Skill,Kochi,6-9 Yrs,"Data Science
Azure
Data Scientist
Data Management
Agile
Data Analytics
Machine Learning
Python"
116,"Lead Data Scientist - 8+ yrs, Bangalore Location",Careernet Technologies Pvt Ltd,Bengaluru,7-11 Yrs,"Data Science
decision tree
NLP
Artificial Intelligence
Natural Language Processing
Neural Networks
random forest
Machine Learning"
117,"Data Scientist, Machine Learning & AI Openings with our Clients",QuickXpert Infotech,"Mumbai Suburbs, Navi Mumbai, Mumbai, Thane",6-11 Yrs,"deep learning and development
python
ai
lead data scientist
r developer
machine learning
python developer
artificial intelligence"
118,Mgr - Data Scientist ( Immediate Joinees ONLY _ 15 days ),Pylon Management Consulting Pvt Ltd,"Gurgaon, Noida",6-9 Yrs,"Logistic Regression
Time Series Analysis
Cluster Analysis
deep learning
advanced analytics
python
client engagement
statistical modeling"
119,Data Scientist (Active IQ),Netapp India Private Limited,Bengaluru,3-5 Yrs,"Data Science
R
SAS SQL
Data Wrangling
Linear Regression
Neural Networks
Data Analysis
Decision Trees"
